timebg	Bbgz
2021-06-07T16:39:26.506	-68.2051825546518
2021-06-07T16:39:27.506	-68.2129172106207
2021-06-07T16:39:28.505	-68.2206441319335
2021-06-07T16:39:29.505	-68.2283787879024
2021-06-07T16:39:30.505	-68.2361134438712
2021-06-07T16:39:31.505	-68.2438480998401
2021-06-07T16:39:32.505	-68.2515827558089
2021-06-07T16:39:33.505	-68.2593174117778
2021-06-07T16:39:34.505	-68.2670520677466
2021-06-07T16:39:35.506	-68.2747944583714
2021-06-07T16:39:36.506	-68.2825291143403
2021-06-07T16:39:37.506	-68.2902637703091
2021-06-07T16:39:38.506	-68.297998426278
2021-06-07T16:39:39.506	-68.3057330822468
2021-06-07T16:39:40.506	-68.3134677382156
2021-06-07T16:39:41.505	-68.3211946595285
2021-06-07T16:39:42.505	-68.3289293154974
2021-06-07T16:39:43.505	-68.3366639714662
2021-06-07T16:39:44.505	-68.344398627435
2021-06-07T16:39:45.505	-68.3521332834039
2021-06-07T16:39:46.505	-68.3598679393727
2021-06-07T16:39:47.506	-68.3676103299975
2021-06-07T16:39:48.505	-68.3753372513104
2021-06-07T16:39:49.506	-68.3830796419352
2021-06-07T16:39:50.506	-68.3908142979041
2021-06-07T16:39:51.506	-68.3985489538729
2021-06-07T16:39:52.506	-68.4062836098418
2021-06-07T16:39:53.506	-68.4140182658106
2021-06-07T16:39:54.506	-68.4217529217795
2021-06-07T16:39:55.505	-68.4294798430923
2021-06-07T16:39:56.505	-68.4372144990612
2021-06-07T16:39:57.505	-68.44494915503
2021-06-07T16:39:58.505	-68.4526838109989
2021-06-07T16:39:59.505	-68.4604184669677
2021-06-07T16:40:00.505	-68.4681531229365
2021-06-07T16:40:01.506	-68.4758955135614
2021-06-07T16:40:02.506	-68.4836301695302
2021-06-07T16:40:03.506	-68.491364825499
2021-06-07T16:40:04.506	-68.4990994814679
2021-06-07T16:40:05.506	-68.5068341374367
2021-06-07T16:40:06.506	-68.5145687934056
2021-06-07T16:40:07.506	-68.5223034493744
2021-06-07T16:40:08.505	-68.5300303706873
2021-06-07T16:40:09.505	-68.5377650266561
2021-06-07T16:40:10.505	-68.545499682625
2021-06-07T16:40:11.505	-68.5532343385938
2021-06-07T16:40:12.505	-68.5609689945627
2021-06-07T16:40:13.505	-68.5687036505315
2021-06-07T16:40:14.506	-68.5764460411563
2021-06-07T16:40:15.505	-68.5841729624692
2021-06-07T16:40:16.506	-68.591915353094
2021-06-07T16:40:17.506	-68.5996500090629
2021-06-07T16:40:18.506	-68.6073846650317
2021-06-07T16:40:19.506	-68.6151193210005
2021-06-07T16:40:20.506	-68.6228539769694
2021-06-07T16:40:21.506	-68.6305886329382
2021-06-07T16:40:22.505	-68.6383155542511
2021-06-07T16:40:23.505	-68.64605021022
2021-06-07T16:40:24.505	-68.6537848661888
2021-06-07T16:40:25.505	-68.6615195221576
2021-06-07T16:40:26.505	-68.6692541781265
2021-06-07T16:40:27.505	-68.6769888340953
2021-06-07T16:40:28.506	-68.6847312247201
2021-06-07T16:40:29.506	-68.692465880689
2021-06-07T16:40:30.506	-68.7002005366578
2021-06-07T16:40:31.506	-68.7079351926267
2021-06-07T16:40:32.506	-68.7156698485955
2021-06-07T16:40:33.506	-68.7234045045644
2021-06-07T16:40:34.506	-68.7311391605332
2021-06-07T16:40:35.505	-68.7388660818461
2021-06-07T16:40:36.505	-68.7466007378149
2021-06-07T16:40:37.505	-68.7543353937838
2021-06-07T16:40:38.505	-68.7620700497526
2021-06-07T16:40:39.505	-68.7698047057215
2021-06-07T16:40:40.505	-68.7775393616903
2021-06-07T16:40:41.506	-68.7852817523151
2021-06-07T16:40:42.505	-68.793008673628
2021-06-07T16:40:43.506	-68.8007510642528
2021-06-07T16:40:44.506	-68.8084857202217
2021-06-07T16:40:45.506	-68.8162203761905
2021-06-07T16:40:46.506	-68.8239550321593
2021-06-07T16:40:47.506	-68.8316896881282
2021-06-07T16:40:48.506	-68.839424344097
2021-06-07T16:40:49.505	-68.8471512654099
2021-06-07T16:40:50.505	-68.8548859213788
2021-06-07T16:40:51.505	-68.8626205773476
2021-06-07T16:40:52.505	-68.8703552333164
2021-06-07T16:40:53.505	-68.8780898892853
2021-06-07T16:40:54.505	-68.8858245452541
2021-06-07T16:40:55.506	-68.8935669358789
2021-06-07T16:40:56.506	-68.9013015918478
2021-06-07T16:40:57.506	-68.9090362478166
2021-06-07T16:40:58.506	-68.9167709037855
