timebg	Bbgy
1996-09-06T18:47:07.154	-16.7005901492314
1996-09-06T18:47:07.454	-16.6986151276964
1996-09-06T18:47:07.820	-16.6962056014236
1996-09-06T18:47:08.120	-16.6942305798886
1996-09-06T18:47:08.487	-16.6918144702108
1996-09-06T18:47:08.787	-16.6898394486758
1996-09-06T18:47:09.154	-16.687423338998
1996-09-06T18:47:09.454	-16.6854483174629
1996-09-06T18:47:09.820	-16.6830387911902
1996-09-06T18:47:10.120	-16.6810637696552
1996-09-06T18:47:10.487	-16.6786476599774
1996-09-06T18:47:10.787	-16.6766726384423
1996-09-06T18:47:11.154	-16.6742565287645
1996-09-06T18:47:17.454	-16.6327810765292
1996-09-06T18:47:17.820	-16.6303715502565
1996-09-06T18:47:18.120	-16.6283965287215
1996-09-06T18:47:18.487	-16.6259804190436
1996-09-06T18:47:18.787	-16.6240053975086
1996-09-06T18:47:19.154	-16.6215892878308
1996-09-06T18:47:19.454	-16.6196142662958
1996-09-06T18:47:19.820	-16.617204740023
1996-09-06T18:47:20.120	-16.615229718488
1996-09-06T18:47:20.487	-16.6128136088102
1996-09-06T18:47:20.787	-16.6108385872752
1996-09-06T18:47:21.154	-16.6084224775973
1996-09-06T18:47:21.454	-16.6064474560623
1996-09-06T18:47:21.820	-16.6040379297896
1996-09-06T18:47:22.120	-16.6020629082546
1996-09-06T18:47:22.487	-16.5996467985767
1996-09-06T18:47:22.787	-16.5976717770417
1996-09-06T18:47:23.154	-16.5952556673639
1996-09-06T18:47:23.454	-16.5932806458289
1996-09-06T18:47:23.820	-16.5908711195562
1996-09-06T18:47:24.120	-16.5888960980211
1996-09-06T18:47:24.487	-16.5864799883433
1996-09-06T18:47:24.787	-16.5845049668083
1996-09-06T18:47:25.154	-16.5820888571305
1996-09-06T18:47:25.454	-16.5801138355954
1996-09-06T18:47:25.820	-16.5777043093227
1996-09-06T18:47:26.120	-16.5757292877877
1996-09-06T18:47:26.487	-16.5733131781099
1996-09-06T18:47:26.787	-16.5713381565749
1996-09-06T18:47:27.154	-16.568922046897
1996-09-06T18:47:27.454	-16.566947025362
1996-09-06T18:47:27.820	-16.5645374990893
1996-09-06T18:47:28.120	-16.5625624775543
1996-09-06T18:47:28.487	-16.5601463678764
1996-09-06T18:47:28.787	-16.5581713463414
1996-09-06T18:47:29.154	-16.5557552366636
1996-09-06T18:47:29.454	-16.5537802151286
1996-09-06T18:47:29.820	-16.5513706888559
1996-09-06T18:47:30.120	-16.5493956673208
1996-09-06T18:47:30.487	-16.546979557643
1996-09-06T18:47:30.787	-16.545004536108
1996-09-06T18:47:31.154	-16.5425884264302
1996-09-06T18:47:31.454	-16.5406134048951
1996-09-06T18:47:31.820	-16.5382038786224
1996-09-06T18:47:32.120	-16.5362288570874
1996-09-06T18:47:32.487	-16.5338127474096
1996-09-06T18:47:32.787	-16.5318377258746
1996-09-06T18:47:33.153	-16.5294281996018
1996-09-06T18:47:33.453	-16.5274531780668
1996-09-06T18:47:33.820	-16.525037068389
1996-09-06T18:47:34.120	-16.523062046854
1996-09-06T18:47:34.487	-16.5206459371761
1996-09-06T18:47:34.787	-16.5186709156411
1996-09-06T18:47:35.153	-16.5162613893684
1996-09-06T18:47:35.453	-16.5142863678334
1996-09-06T18:47:35.820	-16.5118702581555
1996-09-06T18:47:36.120	-16.5098952366205
1996-09-06T18:47:36.487	-16.5074791269427
1996-09-06T18:47:36.787	-16.5055041054077
1996-09-06T18:47:37.153	-16.503094579135
1996-09-06T18:47:37.453	-16.5011195575999
1996-09-06T18:47:37.820	-16.4987034479221
1996-09-06T18:47:38.120	-16.4967284263871
1996-09-06T18:47:38.487	-16.4943123167093
1996-09-06T18:47:38.787	-16.4923372951742
1996-09-06T18:47:39.153	-16.4899277689015
1996-09-06T18:47:39.453	-16.4879527473665
1996-09-06T18:47:39.820	-16.4855366376887
1996-09-06T18:47:40.120	-16.4835616161537
1996-09-06T18:47:40.487	-16.4811455064758
1996-09-06T18:47:40.787	-16.4791704849408
1996-09-06T18:47:41.153	-16.4767609586681
1996-09-06T18:47:41.453	-16.4747859371331
1996-09-06T18:47:41.820	-16.4723698274552
1996-09-06T18:47:42.120	-16.4703948059202
1996-09-06T18:47:42.487	-16.4679786962424
1996-09-06T18:47:42.787	-16.4660036747074
1996-09-06T18:47:43.153	-16.4635941484347
1996-09-06T18:47:43.453	-16.4616191268996
1996-09-06T18:47:43.820	-16.4592030172218
1996-09-06T18:47:44.120	-16.4572279956868
1996-09-06T18:47:44.487	-16.4548118860089
1996-09-06T18:47:44.787	-16.4528368644739
1996-09-06T18:47:45.153	-16.4504273382012
1996-09-06T18:47:45.453	-16.4484523166662
1996-09-06T18:47:45.820	-16.4460362069884
1996-09-06T18:47:46.120	-16.4440611854533
1996-09-06T18:47:46.487	-16.4416450757755
1996-09-06T18:47:46.787	-16.4396700542405
1996-09-06T18:47:47.153	-16.4372605279678
1996-09-06T18:47:47.453	-16.4352855064328
1996-09-06T18:47:47.820	-16.4328693967549
1996-09-06T18:47:48.120	-16.4308943752199
1996-09-06T18:47:48.487	-16.4284782655421
1996-09-06T18:47:55.453	-16.382618265499
1996-09-06T18:47:55.820	-16.3802021558212
1996-09-06T18:47:56.120	-16.3782271342862
1996-09-06T18:47:56.487	-16.3758110246083
1996-09-06T18:47:56.787	-16.3738360030733
1996-09-06T18:47:57.153	-16.3714264768006
1996-09-06T18:47:57.453	-16.3694514552656
1996-09-06T18:47:57.820	-16.3670353455877
1996-09-06T18:47:58.120	-16.3650603240527
1996-09-06T18:47:58.487	-16.3626442143749
1996-09-06T18:47:58.787	-16.3606691928399
1996-09-06T18:47:59.153	-16.3582596665672
1996-09-06T18:47:59.453	-16.3562846450321
1996-09-06T18:47:59.820	-16.3538685353543
1996-09-06T18:48:00.120	-16.3518935138193
1996-09-06T18:48:00.487	-16.3494774041415
1996-09-06T18:48:00.787	-16.3475023826064
1996-09-06T18:48:01.153	-16.3450928563337
1996-09-06T18:48:01.453	-16.3431178347987
1996-09-06T18:48:01.820	-16.3407017251209
1996-09-06T18:48:02.120	-16.3387267035859
1996-09-06T18:48:02.487	-16.336310593908
1996-09-06T18:48:02.787	-16.334335572373
1996-09-06T18:48:03.153	-16.3319260461003
1996-09-06T18:48:03.453	-16.3299510245653
1996-09-06T18:48:03.820	-16.3275349148874
1996-09-06T18:48:04.120	-16.3255598933524
1996-09-06T18:48:04.487	-16.3231437836746
1996-09-06T18:48:04.787	-16.3211687621396
1996-09-06T18:48:05.153	-16.3187592358669
1996-09-06T18:48:05.453	-16.3167842143318
1996-09-06T18:48:05.820	-16.314368104654
1996-09-06T18:48:06.120	-16.312393083119
1996-09-06T18:48:06.487	-16.3099769734411
1996-09-06T18:48:06.787	-16.3080019519061
1996-09-06T18:48:07.153	-16.3055924256334
1996-09-06T18:48:07.453	-16.3036174040984
1996-09-06T18:48:07.820	-16.3012012944206
1996-09-06T18:48:08.120	-16.2992262728855
1996-09-06T18:48:08.487	-16.2968101632077
1996-09-06T18:48:08.787	-16.2948351416727
1996-09-06T18:48:09.153	-16.2924256154
1996-09-06T18:48:09.453	-16.290450593865
1996-09-06T18:48:09.820	-16.2880344841871
1996-09-06T18:48:10.120	-16.2860594626521
1996-09-06T18:48:10.487	-16.2836433529743
1996-09-06T18:48:10.787	-16.2816683314393
1996-09-06T18:48:11.153	-16.2792588051665
1996-09-06T18:48:11.453	-16.2772837836315
1996-09-06T18:48:11.820	-16.2748676739537
1996-09-06T18:48:12.120	-16.2728926524187
1996-09-06T18:48:12.487	-16.2704765427408
1996-09-06T18:48:12.787	-16.2685015212058
1996-09-06T18:48:13.153	-16.2660919949331
1996-09-06T18:48:13.453	-16.2641169733981
1996-09-06T18:48:13.820	-16.2617008637203
1996-09-06T18:48:14.120	-16.2597258421852
1996-09-06T18:48:14.487	-16.2573097325074
1996-09-06T18:48:14.787	-16.2553347109724
1996-09-06T18:48:15.153	-16.2529251846997
1996-09-06T18:48:15.453	-16.2509501631647
1996-09-06T18:48:15.820	-16.2485340534868
1996-09-06T18:48:16.120	-16.2465590319518
1996-09-06T18:48:16.487	-16.244142922274
1996-09-06T18:48:16.787	-16.242167900739
1996-09-06T18:48:17.153	-16.2397583744662
1996-09-06T18:48:17.453	-16.2377833529312
1996-09-06T18:48:17.820	-16.2353672432534
1996-09-06T18:48:18.120	-16.2333922217184
1996-09-06T18:48:18.487	-16.2309761120405
1996-09-06T18:48:18.787	-16.2290010905055
1996-09-06T18:48:19.153	-16.2265915642328
1996-09-06T18:48:19.453	-16.2246165426978
1996-09-06T18:48:19.820	-16.2222004330199
1996-09-06T18:48:20.120	-16.2202254114849
1996-09-06T18:48:20.487	-16.2178093018071
1996-09-06T18:48:20.787	-16.2158342802721
1996-09-06T18:48:21.153	-16.2134247539994
1996-09-06T18:48:21.453	-16.2114497324643
1996-09-06T18:48:21.820	-16.2090336227865
1996-09-06T18:48:22.120	-16.2070586012515
1996-09-06T18:48:22.487	-16.2046424915737
1996-09-06T18:48:22.787	-16.2026674700386
1996-09-06T18:48:23.153	-16.2002579437659
1996-09-06T18:48:23.453	-16.1982829222309
1996-09-06T18:48:23.820	-16.1958668125531
1996-09-06T18:48:24.120	-16.1938917910181
1996-09-06T18:48:24.487	-16.1914756813402
1996-09-06T18:48:24.787	-16.1895006598052
1996-09-06T18:48:25.153	-16.1870911335325
1996-09-06T18:48:25.453	-16.1851161119975
1996-09-06T18:48:25.820	-16.1827000023196
1996-09-06T18:48:26.120	-16.1807249807846
1996-09-06T18:48:26.487	-16.1783088711068
1996-09-06T18:48:26.787	-16.1763338495718
1996-09-06T18:48:27.153	-16.1739243232991
1996-09-06T18:48:27.453	-16.171949301764
1996-09-06T18:48:27.820	-16.1695331920862
1996-09-06T18:48:28.120	-16.1675581705512
1996-09-06T18:48:28.487	-16.1651420608734
1996-09-06T18:48:28.787	-16.1631670393383
1996-09-06T18:48:29.153	-16.1607575130656
1996-09-06T18:48:29.453	-16.1587824915306
1996-09-06T18:48:29.820	-16.1563663818528
1996-09-06T18:48:30.120	-16.1543913603177
1996-09-06T18:48:30.487	-16.1519752506399
1996-09-06T18:48:30.787	-16.1500002291049
1996-09-06T18:48:31.153	-16.1475907028322
1996-09-06T18:48:31.453	-16.1456156812972
1996-09-06T18:48:31.820	-16.1431995716193
1996-09-06T18:48:32.120	-16.1412245500843
1996-09-06T18:48:32.487	-16.1388084404065
1996-09-06T18:48:32.787	-16.1368334188715
1996-09-06T18:48:33.153	-16.1344238925987
1996-09-06T18:48:33.453	-16.1324488710637
1996-09-06T18:48:33.820	-16.1300327613859
1996-09-06T18:48:34.120	-16.1280577398509
1996-09-06T18:48:34.487	-16.125641630173
1996-09-06T18:48:34.787	-16.123666608638
1996-09-06T18:48:35.153	-16.1212570823653
1996-09-06T18:48:35.453	-16.1192820608303
1996-09-06T18:48:35.820	-16.1168659511525
1996-09-06T18:48:36.120	-16.1148909296174
1996-09-06T18:48:36.487	-16.1124748199396
1996-09-06T18:48:36.787	-16.1104997984046
1996-09-06T18:48:37.153	-16.1080902721319
1996-09-06T18:48:37.453	-16.1061152505969
1996-09-06T18:48:37.820	-16.103699140919
1996-09-06T18:48:38.120	-16.101724119384
1996-09-06T18:48:38.487	-16.0993080097062
1996-09-06T18:48:38.787	-16.0973329881712
1996-09-06T18:48:39.153	-16.0949234618984
1996-09-06T18:48:39.453	-16.0929484403634
1996-09-06T18:48:39.820	-16.0905323306856
1996-09-06T18:48:40.120	-16.0885573091506
1996-09-06T18:48:40.487	-16.0861411994727
1996-09-06T18:48:40.787	-16.0841661779377
1996-09-06T18:48:41.153	-16.081756651665
1996-09-06T18:48:41.453	-16.07978163013
1996-09-06T18:48:41.820	-16.0773655204522
1996-09-06T18:48:42.120	-16.0753904989171
1996-09-06T18:48:42.487	-16.0729743892393
1996-09-06T18:48:42.787	-16.0709993677043
1996-09-06T18:48:43.153	-16.0685898414316
1996-09-06T18:48:43.453	-16.0666148198965
1996-09-06T18:48:43.820	-16.0641987102187
1996-09-06T18:48:44.120	-16.0622236886837
1996-09-06T18:48:44.487	-16.0598075790059
1996-09-06T18:48:44.787	-16.0578325574708
1996-09-06T18:48:45.153	-16.0554230311981
1996-09-06T18:48:45.453	-16.0534480096631
1996-09-06T18:48:45.820	-16.0510318999853
1996-09-06T18:48:46.120	-16.0490568784503
1996-09-06T18:48:46.487	-16.0466407687724
1996-09-06T18:48:46.787	-16.0446657472374
1996-09-06T18:48:47.153	-16.0422562209647
1996-09-06T18:48:47.453	-16.0402811994297
1996-09-06T18:48:47.820	-16.0378650897518
1996-09-06T18:48:48.120	-16.0358900682168
1996-09-06T18:48:48.487	-16.033473958539
1996-09-06T18:48:48.787	-16.031498937004
1996-09-06T18:48:49.153	-16.0290894107313
1996-09-06T18:48:49.453	-16.0271143891962
1996-09-06T18:48:49.820	-16.0246982795184
1996-09-06T18:48:50.120	-16.0227232579834
1996-09-06T18:48:50.487	-16.0203071483056
