time	Bz
1996-09-06T19:01:21.453	-812.409456332192
1996-09-06T19:01:21.820	-811.512444654479
1996-09-06T19:01:22.120	-812.383424867522
1996-09-06T19:01:22.486	-811.854418504719
1996-09-06T19:01:22.786	-806.665395998661
1996-09-06T19:01:23.153	-807.406429574328
1996-09-06T19:01:23.453	-807.00177910521
1996-09-06T19:01:23.820	-805.816722340962
1996-09-06T19:01:24.120	-804.87280146954
1996-09-06T19:01:24.486	-802.437166806746
1996-09-06T19:01:24.786	-801.886603852091
1996-09-06T19:01:25.153	-800.97494718203
1996-09-06T19:01:25.453	-799.436903280341
1996-09-06T19:01:25.820	-798.116767710505
1996-09-06T19:01:26.120	-799.877782817994
1996-09-06T19:01:26.486	-795.052793507846
1996-09-06T19:01:26.786	-794.247759289521
1996-09-06T19:01:27.153	-791.673750605906
1996-09-06T19:01:27.453	-792.840533104485
1996-09-06T19:01:27.820	-790.938970676166
1996-09-06T19:01:28.120	-788.563282138694
1996-09-06T19:01:28.486	-788.05155860765
1996-09-06T19:01:28.786	-787.884810302207
1996-09-06T19:01:29.153	-784.656468345043
1996-09-06T19:01:29.453	-782.760672180124
1996-09-06T19:01:29.820	-783.215448051762
1996-09-06T19:01:30.120	-784.326462756437
1996-09-06T19:01:30.486	-779.049870416649
1996-09-06T19:01:30.786	-777.44822737256
1996-09-06T19:01:31.153	-776.194134667563
1996-09-06T19:01:31.453	-774.133694994441
1996-09-06T19:01:31.820	-776.829227306196
1996-09-06T19:01:32.120	-772.724229142616
1996-09-06T19:01:32.486	-771.282643278865
1996-09-06T19:01:32.786	-769.582095137164
1996-09-06T19:01:33.153	-770.915026665684
1996-09-06T19:01:33.453	-769.54922096054
1996-09-06T19:01:33.820	-767.947617335957
1996-09-06T19:01:34.120	-765.719455917335
1996-09-06T19:01:34.486	-766.981675671067
1996-09-06T19:01:34.786	-763.595263679067
1996-09-06T19:01:35.153	-761.648814301045
1996-09-06T19:01:35.453	-761.503607815388
1996-09-06T19:01:35.820	-760.456684306516
1996-09-06T19:01:36.120	-758.580129665852
1996-09-06T19:01:36.486	-756.540000974491
1996-09-06T19:01:36.786	-757.839656616836
1996-09-06T19:01:37.153	-755.763481896777
1996-09-06T19:01:37.453	-753.111707958945
1996-09-06T19:01:37.820	-751.586227461669
1996-09-06T19:01:38.120	-750.832704264371
1996-09-06T19:01:38.486	-750.370326237617
1996-09-06T19:01:38.786	-746.493701229905
1996-09-06T19:01:39.153	-745.729552173781
1996-09-06T19:01:39.453	-746.873971658457
1996-09-06T19:01:39.820	-745.277756846942
1996-09-06T19:01:40.120	-744.366500568595
1996-09-06T19:01:40.486	-739.247187682887
1996-09-06T19:01:40.786	-739.187917741373
1996-09-06T19:01:41.153	-741.046023392788
1996-09-06T19:01:41.453	-734.894865620544
1996-09-06T19:01:41.820	-735.443313845023
1996-09-06T19:01:42.120	-735.450362779456
1996-09-06T19:01:42.486	-733.996919659547
1996-09-06T19:01:42.786	-732.164454582582
1996-09-06T19:01:43.153	-730.201256485872
1996-09-06T19:01:43.453	-730.207565051416
1996-09-06T19:01:43.820	-729.266112159155
1996-09-06T19:01:44.120	-728.769320310757
1996-09-06T19:01:44.486	-726.270776036285
1996-09-06T19:01:44.786	-725.073414693458
1996-09-06T19:01:45.153	-722.535669950787
